Name,Department,year1,year2,year3,year4,year5,Years,Graduated
Santos Marla,Geology,2.8,2.4,3.6,3.2,,4,2015
Malcomm Emrican,Mechganical Engineering,2.4,4.4,4.4,4.4,4,5,2014
Mourinho Green,Cyber Security,4,4.4,4.4,2,4.4,5,2014
Manchester Edward,Computer Science,2.8,2.8,4,,,3,2016
Marcos Nicki,Statistics,3.6,2.4,2,,,3,2016
Silver Mark,Information Technology,2.4,3.6,2.4,2.4,,4,2015
Thompson Casandra,Computer Engineering,2,4.4,4.4,,,3,2016
Hezekiah Mark,Micro Biology,2,4.4,4.4,,,3,2016
Malcomm Fredie,Bio Technology,4.4,2.4,3.6,2,2.4,5,2014
Douglas Limpo,Building Technology,3.2,4,3.6,2,3.6,5,2014
Malcomm Kiki,Mechganical Engineering,4.4,3.2,2.4,3.2,,4,2015
Einstein Nicki,Micro Biology,3.6,3.6,3.2,2.4,,4,2015
Manchester Wayne,Computer Engineering,3.6,2.8,2,,,3,2016
Silver Montana,Bio Technology,2,2.4,2.8,4,,4,2015
Hezekiah Dan,Computer Engineering,2.8,4.4,2.8,2,3.6,5,2014
Richard Marla,Building Technology,2,2,3.2,3.6,2.4,5,2014
Lorrience Hummit,Software Programming,3.2,2.8,3.6,2.8,,4,2015
Hewlette Dan,Machine and Deep Engineering,2.8,4,2.4,4,4,5,2014
Becam Lingard,Micro Biology,2.8,3.6,2,,,3,2016
Marcos Emrican,Architecture,3.6,2.8,4.4,4,,4,2015
Greenwich Mercy,Software Programming,2.8,2.8,2.4,4,2,5,2014
Einstein Slipey,Statistics,2,2.8,2,2.4,2.4,5,2014
Hewlette Dembele,Biochemistry,3.2,2.8,4,3.2,,4,2015
Ford John,Micro Biology,2,2.4,2.4,4,3.2,5,2014
Douglas Mark,Computer Science,4.4,3.6,3.6,4.4,,4,2015
Edding Dunlop,Information Technology,2.8,3.6,4.4,,,3,2016
Emerson Paul,Machine and Deep Engineering,3.2,2.8,2.4,,,3,2016
Mourinho Philine,Geology,3.6,3.6,4.4,3.6,,4,2015
Rica Priscilia,Software Programming,4.4,2.4,2.8,,,3,2016
Greenwich Philine,Information Technology,2,4,3.2,2.4,2.4,5,2014
Santos Edward,Information Technology,3.2,2.8,3.2,4,3.6,5,2014
Honda Fredie,Building Technology,3.2,4.4,2,,,3,2016
Thompson Wayne,Physics,3.2,3.2,4,,,3,2016
Sellini Paul,Statistics,3.6,2.8,2.4,4.4,4,5,2014
Honda Coutiho,Geology,4,4,4.4,2.8,4,5,2014
Mizphabet Kiki,Bio Technology,3.6,2,2.4,3.6,,4,2015
Emerson Emrican,Mining Engineering,3.2,3.2,4,,,3,2016
Febo Bill,Geology,3.6,2,3.2,,,3,2016
Douglas Jack,Physics,2,2,2.4,3.2,4,5,2014
Marcos Dembele,Machine and Deep Engineering,4,3.2,2.8,,,3,2016
Willson Cavati,Software Programming,4,3.2,4.4,4.4,3.6,5,2014
Rica Emtee,Computer Science,2.8,3.6,3.2,2,,4,2015
Malcomm Charles,Bio Technology,2,4.4,2.4,2.4,2,5,2014
Mourinho Kiki,Biochemistry,2.4,4,4,4,,4,2015
Anderson John,Mechganical Engineering,2,2,3.2,4,,4,2015
Becam Hummit,Survey and Geo-informatics,2.4,3.6,2,4.4,,4,2015
Malcomm Paul,Micro Biology,4,2,3.2,4.4,,4,2015
Sellini Julius,Statistics,4.4,3.6,3.6,3.2,,4,2015
Marcos Paul,Micro Biology,3.2,3.2,3.6,4,,4,2015
Chelsea James,Building Technology,2.8,3.2,4,3.6,4.4,5,2014
Barcelona Berger,Computer Science,2,2.8,3.6,3.2,4,5,2014
Sellini Bill,Physics,3.2,2.8,4.4,,,3,2016
Donald Lingard,Mechganical Engineering,2.8,3.2,2.8,2.8,2,5,2014
PyRodri Lingard,Civil Engineering,2.4,3.6,3.6,3.6,,4,2015
Sellini Cara,Physics,2,4,3.2,,,3,2016
PyRodri Sandra,Physics,3.2,4,4.4,,,3,2016
Manchester Hummit,Geology,3.6,2.8,2.8,4.4,2.4,5,2014
Lorrience Emtee,Micro Biology,2.8,3.2,2.8,4.4,,4,2015
Richard Priscilia,Cyber Security,2,4.4,3.6,2,4.4,5,2014
Donald Mark,Micro Biology,4,2.4,2,4.4,,4,2015
Luke Hustle,Bio Technology,3.6,4,4.4,,,3,2016
Robert Hummit,Geology,4,3.6,3.6,4.4,,4,2015
Sellini Jack,Mining Engineering,2,3.2,4,,,3,2016
Ford Whice,Statistics,2,3.2,3.6,,,3,2016
Richard Coutiho,Biochemistry,2,4.4,2.4,4.4,,4,2015
Hewlette Priscilia,Computer Science,2,3.2,2,2,,4,2015
Willson Montana,Information Technology,4.4,3.6,4,4,,4,2015
Sebastian Paul,Micro Biology,2.8,3.2,3.2,2.4,,4,2015
Lucas Babbage,Software Programming,2,3.6,4.4,4,2.8,5,2014
Honda Gopy,Civil Engineering,2.8,4.4,4,,,3,2016
Lorrience Bond,Architecture,3.2,3.2,4.4,2,2.4,5,2014
Ford Marla,Micro Biology,2,4,3.6,3.6,2.8,5,2014
Mourinho Young man,Physics,3.2,2,4.4,4.4,2,5,2014
Malcomm Berger,Statistics,3.2,4.4,4.4,,,3,2016
Thompson Bill,Mechganical Engineering,4.4,4.4,4.4,3.6,2.8,5,2014
Henry White,Software Programming,4.4,2.8,2.4,,,3,2016
Silver Cara,Computer Science,2.8,2.4,4,3.6,,4,2015
Robert Limpo,Data Analysis,2.4,4.4,3.6,4.4,,4,2015
Diego John,Mining Engineering,4.4,3.2,4.4,2.8,2.4,5,2014
Kendrick Dembele,Software Programming,4.4,4,3.6,2.8,4.4,5,2014
Honda Chris,Machine and Deep Engineering,4.4,4,3.2,4.4,,4,2015
Santos Limpo,Computer Engineering,3.6,3.6,2,4,3.6,5,2014
Abraham Nicki,Software Programming,2.4,4.4,3.6,2.8,4.4,5,2014
Torgan Mercy,Information Technology,4,4,2.4,3.2,3.6,5,2014
Edding Young man,Statistics,3.6,3.6,4,2.4,2.4,5,2014
Diego Lingard,Cyber Security,3.2,2.8,4,,,3,2016
McCall Esther,Mining Engineering,3.6,4,2.8,2.4,,4,2015
Lucas Jordan,Civil Engineering,2.4,4,3.2,2,2,5,2014
McCoaster Charles,Survey and Geo-informatics,2.4,2.8,2.8,3.6,3.6,5,2014
Silver Bond,Mining Engineering,4.4,4.4,3.6,,,3,2016
Kendrick Priscilia,Building Technology,4.4,3.6,2.4,2.8,,4,2015
Abraham Bill,Statistics,3.2,3.2,4,2,,4,2015
Santos Burna,Data Analysis,2,3.2,4,2.8,2.8,5,2014
Luke Slipey,Mining Engineering,3.6,2.8,4,2,,4,2015
Malcomm Anabelle,Software Programming,4.4,3.2,2.8,2,2,5,2014
McCall Bill,Computer Science,2,4,3.2,4,,4,2015
Marcos James,Survey and Geo-informatics,2.8,2.4,4.4,,,3,2016
Malcomm Dan,Data Analysis,2.8,2.8,3.6,2,2.8,5,2014
Lorrience Young man,Building Technology,4.4,2,3.6,2,4,5,2014
Willson Sandra,Bio Technology,4.4,4.4,2,4.4,,4,2015
Henry Justin,Information Technology,2,2.8,4,2.4,2.8,5,2014
Donald Justin,Geology,3.2,3.2,4,3.6,,4,2015
Douglas Whice,Micro Biology,3.6,3.6,2.8,2,,4,2015
Kendrick Whice,Mechganical Engineering,3.2,2.8,3.2,4.4,2.8,5,2014
Chelsea Slipey,Data Analysis,2.4,3.6,4,3.2,,4,2015
Honda Jack,Geology,2.8,4,3.6,4,,4,2015
Febo Chris,Mechganical Engineering,4,3.6,4.4,,,3,2016
Edding Coutiho,Machine and Deep Engineering,4.4,4.4,2.8,2,,4,2015
PyRodri Jack,Machine and Deep Engineering,4,3.6,3.2,2,2,5,2014
Kendrick White,Mechganical Engineering,3.6,3.2,4,,,3,2016
Marcos White,Physics,2.8,3.2,3.6,4.4,4,5,2014
Charlotte Sandra,Information Technology,4,4,4,4.4,2.4,5,2014
David Anabelle,Mining Engineering,2.8,3.6,3.2,4.4,,4,2015
McCoaster Lingard,Information Technology,3.2,2.8,4,2.8,3.2,5,2014
Sellini Sandra,Mechganical Engineering,2.4,3.6,2.8,3.2,,4,2015
Malcomm Chris,Machine and Deep Engineering,2,2.8,4,,,3,2016
Emerson Dan,Data Analysis,3.2,4.4,2,2.4,4.4,5,2014
Greenwich Jordan,Bio Technology,3.6,3.2,2.8,2.4,2.8,5,2014
Subdila Bond,Computer Engineering,2,3.6,2.8,,,3,2016
Smith Edward,Machine and Deep Engineering,3.6,3.6,3.2,,,3,2016
Phelionni Limpo,Architecture,3.6,2.4,2,4,,4,2015
Barcelona Green,Civil Engineering,2,4,4,2.8,3.2,5,2014
Alexander Marla,Bio Technology,3.6,4,4,2.4,2.4,5,2014
Honda Mercy,Building Technology,3.6,3.6,2.8,2.8,,4,2015
Kendrick James,Cyber Security,2.8,4.4,2,4,2.4,5,2014
Alexander Philine,Micro Biology,3.2,4,3.2,2.4,,4,2015
Rica James,Computer Science,2.8,4,4,,,3,2016
Rica Esther,Bio Technology,4,3.2,4.4,4,2,5,2014
Alexander Limpo,Information Technology,2,2,2,3.6,4,5,2014
PyRodri Paul,Geology,3.6,4.4,3.2,,,3,2016
Emerson Dembele,Computer Engineering,2.4,2.4,2,,,3,2016
Ford Paul,Civil Engineering,3.6,4,4.4,2,,4,2015
Barcelona Jordan,Civil Engineering,4,4,3.6,3.2,,4,2015
Malcomm John,Computer Engineering,2.8,3.2,2,,,3,2016
Lucas Whice,Civil Engineering,4.4,2.8,4.4,,,3,2016
Narcos Sandra,Information Technology,3.6,2.8,2.4,,,3,2016
Hewlette Julius,Computer Engineering,4,2.8,2.4,2,2.8,5,2014
Lucas Love,Statistics,2.8,3.6,2.8,,,3,2016
Willson Shorya,Bio Technology,4.4,3.6,3.6,,,3,2016
McCoaster Dan,Mining Engineering,2.8,4.4,2,,,3,2016
David Mercy,Survey and Geo-informatics,2.8,2.8,3.2,,,3,2016
McCall Gopy,Physics,2,3.2,2.8,2,2.4,5,2014
Paulinho Berger,Computer Engineering,4.4,3.2,3.6,,,3,2016
Silver James,Mining Engineering,2.8,2.4,4.4,3.2,,4,2015
Febo Montana,Mechganical Engineering,2.4,3.2,2.4,,,3,2016
Charlotte Esther,Survey and Geo-informatics,2.8,4.4,2,2.8,3.2,5,2014
Thompson Charles,Information Technology,4,4,2.4,4.4,2,5,2014
Charlotte Babbage,Machine and Deep Engineering,4,2,2.8,2,,4,2015
Silver Kiki,Data Analysis,3.6,4,4.4,,,3,2016
Luke Bond,Information Technology,3.6,2.8,2.4,4.4,4,5,2014
David Dembele,Computer Engineering,3.2,4,2,,,3,2016
Malcomm Wayne,Computer Engineering,2,3.2,3.6,4.4,,4,2015
Becam Emrican,Information Technology,3.6,2.4,2.4,2.8,,4,2015
Einstein Marla,Architecture,3.6,2,4.4,3.2,,4,2015
Donald Julius,Building Technology,4,4,4.4,3.2,4.4,5,2014
Edding Bond,Physics,4.4,3.6,2,4,,4,2015
Ford Slipey,Information Technology,2,2.4,2.4,3.6,,4,2015
Narcos Paul,Statistics,3.6,3.2,4,,,3,2016
Febo Babbage,Machine and Deep Engineering,2.4,2.4,3.6,3.2,,4,2015
Robert Young man,Cyber Security,3.2,3.6,2.4,3.2,3.6,5,2014
Kendrick Gopy,Civil Engineering,3.2,3.2,2.4,,,3,2016
Silver Charles,Physics,3.6,3.2,3.6,,,3,2016
Mourinho Cara,Data Analysis,3.6,2.4,2,,,3,2016
Sellini Brenda,Computer Engineering,4,3.6,4.4,,,3,2016
Henry Slipey,Mining Engineering,4.4,4.4,2.8,,,3,2016
Edding Berger,Machine and Deep Engineering,3.6,2.8,3.2,,,3,2016
Sellini Chris,Machine and Deep Engineering,2.4,3.2,2.4,2,,4,2015
Henry Fredie,Information Technology,2,3.6,4.4,3.2,,4,2015
Gomez Green,Information Technology,2,2.4,2.8,2.4,3.6,5,2014
Abraham Hustle,Machine and Deep Engineering,2.8,3.6,3.2,3.6,2.8,5,2014
Hezekiah Julius,Architecture,4.4,2.4,4.4,3.6,4.4,5,2014
Andrew Esther,Machine and Deep Engineering,4,2,4.4,2,2,5,2014
Emerson Green,Civil Engineering,4.4,4.4,2.8,2.8,,4,2015
Emerson John,Statistics,4,3.2,3.6,3.6,4.4,5,2014
Edding Cara,Biochemistry,2.4,4.4,3.6,4.4,2,5,2014
Robert Berger,Machine and Deep Engineering,3.6,4.4,2.8,,,3,2016
Sellini Burna,Geology,2.8,4,3.6,3.6,,4,2015
PyRodri Fredie,Architecture,3.6,3.6,3.6,,,3,2016
Honda Limpo,Survey and Geo-informatics,2,3.2,2.8,,,3,2016
Richard Justin,Computer Science,2.4,2.8,2.4,4.4,4,5,2014
Robert Justin,Information Technology,2.8,2,2.4,2.8,,4,2015
PyRodri Kiki,Civil Engineering,3.6,3.6,2,4.4,4.4,5,2014
Smith Love,Survey and Geo-informatics,2.4,2.8,4,2.4,,4,2015
Manchester Young man,Architecture,3.2,3.6,4,2,,4,2015
David Julius,Mining Engineering,2,2.4,2.8,,,3,2016
Luke Julius,Building Technology,2.8,3.2,2.8,4.4,,4,2015
Marcos Whice,Machine and Deep Engineering,4.4,4.4,3.2,3.2,2.8,5,2014
Torgan Young man,Micro Biology,2,3.6,3.6,2.4,4,5,2014
Mourinho Whice,Survey and Geo-informatics,4.4,3.6,4,,,3,2016
Phelionni Jordan,Building Technology,2.4,2,2.4,3.6,,4,2015
Febo Hustle,Computer Science,2,4,2,2.4,4,5,2014
Chelsea Gopy,Software Programming,2.4,2.4,4.4,3.6,4,5,2014
Smith Esther,Civil Engineering,4.4,2.4,2.4,3.2,2.4,5,2014
Narcos Fredie,Bio Technology,3.2,2.8,2.4,2.4,,4,2015
Diego Cavati,Mechganical Engineering,2.8,2.8,3.6,4.4,,4,2015
Honda Esther,Physics,3.6,4,2.4,,,3,2016
Honda Paul,Civil Engineering,2.4,2.8,3.2,3.2,,4,2015
Andrew Bond,Survey and Geo-informatics,2.4,2,2,,,3,2016
Narcos Whice,Micro Biology,4.4,3.2,2,2.8,4,5,2014
Santos Jack,Geology,4,3.6,3.6,2,3.2,5,2014
Subdila Emrican,Machine and Deep Engineering,2.4,4.4,4,,,3,2016
Edding Dembele,Data Analysis,2.8,2.8,3.6,3.6,,4,2015
Greenwich Young man,Computer Engineering,2.4,3.6,4.4,,,3,2016
Santos Cavati,Mining Engineering,4,3.6,2.4,,,3,2016
Hezekiah Gopy,Geology,2,2.4,4.4,,,3,2016
Kendrick John,Cyber Security,4.4,2.8,3.2,2.4,2.8,5,2014
Ford Chris,Physics,2.4,2.4,4.4,4,2.4,5,2014
Mourinho Jordan,Physics,3.6,3.6,2.4,3.2,,4,2015
Ford Anabelle,Mining Engineering,3.6,2,2.4,2.8,3.6,5,2014
Manchester Babbage,Architecture,2.4,4,4.4,3.2,,4,2015
PyRodri Bill,Mining Engineering,2.8,3.2,2,2.8,,4,2015
Mizphabet Julius,Cyber Security,2.8,4,4,3.6,,4,2015
Mourinho Dan,Data Analysis,2,2.4,3.6,4.4,,4,2015
McCall John,Civil Engineering,2,4,3.6,3.6,,4,2015
Smith Hustle,Building Technology,2.8,4,2,,,3,2016
Paulinho Fredie,Biochemistry,2.8,4.4,4.4,2,,4,2015
Diego Marla,Bio Technology,2.8,4,2.8,3.2,3.2,5,2014
David James,Mining Engineering,4,4.4,3.2,4.4,,4,2015
Barcelona Gopy,Cyber Security,4,3.2,2.8,,,3,2016
Douglas James,Computer Science,4.4,4,4.4,4,,4,2015
Honda Sandra,Civil Engineering,2,3.6,3.2,,,3,2016
Kendrick Nicki,Cyber Security,3.2,2.4,3.6,3.6,3.2,5,2014
Charlotte Dembele,Civil Engineering,2.4,3.2,2,4,,4,2015
Andrew Edward,Civil Engineering,4.4,2,3.2,3.2,,4,2015
Rica Chris,Machine and Deep Engineering,4.4,2,2,,,3,2016
Charlotte Dunlop,Cyber Security,4.4,3.2,2.8,2.4,,4,2015
Hewlette Gopy,Architecture,2.8,2,4,2,2,5,2014
Rica Justin,Architecture,3.6,4,4.4,3.2,,4,2015
Sellini Mark,Data Analysis,2,4.4,3.2,3.6,3.2,5,2014
Ford Bill,Cyber Security,2,2.8,2.4,,,3,2016
Paulinho Babbage,Physics,2.4,2,2.4,2,3.2,5,2014
Santos Sandra,Micro Biology,3.6,4,2,,,3,2016
McCall Cara,Physics,3.6,2,3.2,,,3,2016
Anderson Wayne,Architecture,3.2,3.6,2.8,2.8,3.6,5,2014
Sebastian Wayne,Micro Biology,4,2.4,2,,,3,2016
Abraham Dembele,Physics,2,4,2,2.8,,4,2015
Charlotte Montana,Geology,3.6,4,2.4,2.8,,4,2015
PyRodri Babbage,Architecture,4,4.4,3.6,3.2,4.4,5,2014
Malcomm Hustle,Information Technology,2.8,2.4,4.4,,,3,2016
Luke Cavati,Biochemistry,2.8,2.4,2.8,,,3,2016
Subdila Limpo,Architecture,4.4,3.2,2,2,,4,2015
Paulinho Bond,Building Technology,4.4,3.6,4.4,2.8,2.4,5,2014
Silver Cavati,Cyber Security,2.4,4,4.4,3.6,4,5,2014
Alexander Edward,Geology,4.4,4.4,2.4,,,3,2016
McCall Dan,Architecture,3.2,4,3.2,,,3,2016
Sellini Whice,Data Analysis,2.4,2,2.4,,,3,2016
Mourinho Emtee,Micro Biology,3.6,3.2,2,3.6,,4,2015
Edding John,Civil Engineering,2.8,4.4,4.4,2,,4,2015
Gomez Young man,Building Technology,2,2.4,3.6,2.4,3.2,5,2014
Smith White,Survey and Geo-informatics,2.4,4,3.6,,,3,2016
Barcelona Mercy,Cyber Security,4.4,4.4,2.8,,,3,2016
Einstein Fredie,Cyber Security,3.2,4,2,2.4,,4,2015
Rica Whice,Cyber Security,3.6,4,4.4,,,3,2016
Mourinho Paul,Information Technology,4.4,2.8,4,,,3,2016
Sebastian Julius,Software Programming,2.8,2,2.4,4.4,,4,2015
Anderson Priscilia,Software Programming,2.8,4.4,4,2,4.4,5,2014
PyRodri Mark,Civil Engineering,2.4,2.8,4.4,,,3,2016
Paulinho Mercy,Information Technology,2.4,2.4,3.2,,,3,2016
Richard Green,Data Analysis,3.6,3.6,2.8,,,3,2016
Abraham Love,Statistics,3.2,2.8,2.4,4.4,,4,2015
Abraham Gopy,Architecture,2,2.8,3.2,4,2.4,5,2014
Richard Jordan,Building Technology,4,3.2,2.4,,,3,2016
Willson White,Building Technology,2.8,2.4,4,4.4,,4,2015
Manchester Cara,Physics,3.6,2,4.4,,,3,2016
Febo Brenda,Geology,3.6,2.4,3.2,4,,4,2015
PyRodri Mercy,Software Programming,3.6,3.6,2.4,,,3,2016
Douglas Shorya,Architecture,2.4,2,2.4,,,3,2016
McCall Anabelle,Architecture,2,4.4,2.8,4.4,,4,2015
David Berger,Machine and Deep Engineering,4.4,4,3.6,3.6,3.2,5,2014
Thompson Jack,Software Programming,2.8,3.6,3.6,2.4,,4,2015
Emerson Casandra,Survey and Geo-informatics,4.4,3.2,2.4,,,3,2016
Gomez James,Civil Engineering,3.2,2.8,3.2,,,3,2016
Einstein Shorya,Computer Engineering,2.8,4.4,4.4,2,4.4,5,2014
PyRodri John,Mechganical Engineering,2.8,3.6,4.4,,,3,2016
Willson Julius,Physics,2.8,4,2.4,3.2,4,5,2014
Chelsea Love,Physics,4.4,3.2,2.4,4,,4,2015
Hezekiah Priscilia,Geology,2.4,4,4,2,3.6,5,2014
Santos Slipey,Software Programming,2.4,2,4.4,3.6,,4,2015
Febo John,Mining Engineering,3.2,3.2,2.4,,,3,2016
Henry Burna,Civil Engineering,4,2.8,3.6,4.4,2.8,5,2014
Robert Bill,Mining Engineering,2,2.4,3.2,4.4,,4,2015
Alexander Fredie,Bio Technology,3.2,3.6,3.2,,,3,2016
Sebastian Bill,Biochemistry,2,2.4,4.4,,,3,2016
Anderson Slipey,Building Technology,2.4,2.8,2.4,,,3,2016
Honda Dan,Civil Engineering,2.4,2.4,2.8,3.2,2,5,2014
Santos Whice,Information Technology,2,4.4,3.6,,,3,2016
Douglas Philine,Information Technology,3.2,3.6,4,,,3,2016
Kendrick Hustle,Civil Engineering,2,2.8,2.8,4.4,3.2,5,2014
Subdila Dan,Cyber Security,2.4,2.8,2.8,3.6,,4,2015
Lucas Nicki,Computer Science,3.2,4.4,2,4,3.6,5,2014
Lorrience Limpo,Survey and Geo-informatics,2.8,3.6,3.2,,,3,2016
Phelionni Berger,Computer Science,3.2,4,3.2,3.2,4,5,2014
Phelionni White,Bio Technology,2,2,3.6,,,3,2016
Becam Justin,Machine and Deep Engineering,2,4,4,2.4,3.2,5,2014
Thompson Cavati,Survey and Geo-informatics,2.4,2,2.8,2.4,2.4,5,2014
Narcos Dembele,Computer Science,3.6,2,2.4,2.8,3.2,5,2014
Charlotte Young man,Computer Engineering,4,2.8,4,,,3,2016
Becam Bill,Physics,2.4,2,4,,,3,2016
Charlotte Dan,Machine and Deep Engineering,3.6,2.4,3.6,3.2,4.4,5,2014
Santos Bill,Machine and Deep Engineering,4,3.6,3.2,3.6,,4,2015
Malcomm Emtee,Computer Engineering,2,2,4.4,,,3,2016
Luke Jack,Software Programming,4.4,2.8,3.6,,,3,2016
Torgan Wayne,Micro Biology,2.4,3.6,2,3.6,,4,2015
Chelsea Babbage,Computer Engineering,4.4,2.8,3.6,2,,4,2015
Alexander Shorya,Architecture,3.2,2,4.4,2.4,,4,2015
Subdila Jack,Statistics,3.2,3.6,3.6,,,3,2016
Robert Emrican,Micro Biology,3.6,2.4,2,3.6,,4,2015
Willson Cara,Computer Science,4,3.6,4.4,,,3,2016
Henry Limpo,Information Technology,2.4,3.2,4.4,2,,4,2015
Anderson Young man,Information Technology,3.2,2.8,3.2,,,3,2016
Subdila Montana,Survey and Geo-informatics,4.4,3.2,4.4,,,3,2016
Kendrick Emtee,Statistics,3.2,2.8,4.4,2.8,4,5,2014
Torgan Paul,Biochemistry,2,3.2,3.6,4.4,,4,2015
Thompson Priscilia,Information Technology,2.4,2,2.8,3.2,3.2,5,2014
Edding Hustle,Computer Engineering,3.6,3.2,2.4,2.8,3.2,5,2014
Silver Anabelle,Computer Engineering,2,4,3.6,2.4,3.2,5,2014
Emerson Young man,Mining Engineering,2.4,4.4,4,2,4,5,2014
Donald Coutiho,Data Analysis,4,3.2,2.8,2.8,,4,2015
Diego Mark,Civil Engineering,3.6,2.8,4,4,3.2,5,2014
Honda Cavati,Building Technology,3.6,3.2,2,2.8,,4,2015
Alexander Cavati,Mining Engineering,4,3.6,3.6,2.4,3.2,5,2014
Barcelona Paul,Bio Technology,3.6,4.4,3.2,4,4,5,2014
Hezekiah Paul,Data Analysis,2,2,4,,,3,2016
Malcomm Esther,Information Technology,4,2.8,3.6,4,,4,2015
Luke Bill,Biochemistry,4,2,2.8,,,3,2016
Torgan Slipey,Data Analysis,4,3.6,2.4,4.4,,4,2015
Douglas Brenda,Cyber Security,2,4,3.6,3.2,4,5,2014
Donald John,Mining Engineering,3.2,2,2.4,4,,4,2015
Lorrience Fredie,Civil Engineering,2.8,2.8,3.6,3.6,2,5,2014
Santos Cara,Survey and Geo-informatics,3.2,3.6,3.6,4.4,4.4,5,2014
Mizphabet Love,Survey and Geo-informatics,4,2.4,2,2,,4,2015
Robert Montana,Biochemistry,4,2.4,4,3.6,4.4,5,2014
Abraham John,Software Programming,3.6,3.6,3.2,2.8,,4,2015
Andrew Sandra,Statistics,4.4,3.2,4,2,,4,2015
Thompson Gopy,Mechganical Engineering,4.4,2.8,2.8,4,4.4,5,2014
Paulinho Charles,Machine and Deep Engineering,4.4,3.6,4,2.4,2.4,5,2014
Robert Philine,Mining Engineering,4.4,2.8,2.4,,,3,2016
Andrew Justin,Computer Engineering,4,3.6,3.2,4.4,4,5,2014
Honda Jordan,Mining Engineering,2.8,2.4,4.4,3.2,4,5,2014
Barcelona Bill,Physics,4,2.4,3.2,4.4,,4,2015
